run_date,group,ticker,sector,er_multiple_field,er_multiple_value,er_anchor_xs,er_anchor_own,er_anchor_operative,er_anchor_divergence_pct,er_anchor_divergence,er_rerate_status,er_rerate,er_growth,er_yield,expected_return_12_24m,er_confidence,er_growth_clamped,er_rerate_clamped,er_anchor_mode
20260724,NASDAQ,BLBD,Industrials,ev_ebitda,11.825,18.257,,18.257,,False,cross_sectional,10.0,13.9,-1.0,22.9,0.9,False,True,cross_sectional_primary
20260724,NASDAQ,BMRN,Healthcare,fwd_pe,9.206032,18.3383,,18.3383,,False,cross_sectional,10.0,-25.0,-1.5,-16.5,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,BRKR,Healthcare,fwd_pe,25.582132,18.3383,,18.3383,,False,cross_sectional,-2.5,-25.0,-1.6,-29.1,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,BRKRP,Healthcare,fwd_pe,,18.3383,,18.3383,,False,UNMEASURED,,-25.0,0.0,-25.0,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,BRZE,Technology,fwd_pe,21.899994,21.4425,,21.4425,,False,cross_sectional,0.0,42.5,-4.9,37.6,0.7,False,False,cross_sectional_primary
20260724,NASDAQ,BSP,Technology,price_fcf,73.04215810669167,22.102,,22.102,,False,cross_sectional,-2.5,50.0,1.1,48.6,0.7,True,True,cross_sectional_primary
20260724,NASDAQ,BSY,Technology,fwd_pe,19.03859,21.4425,,21.4425,,False,cross_sectional,6.1,7.5,-0.1,13.5,0.9,False,False,cross_sectional_primary
20260724,NASDAQ,BTSG,Healthcare,fwd_pe,32.788883,18.3383,,18.3383,,False,cross_sectional,-2.5,50.0,-10.0,37.5,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,BTSGU,Healthcare,fwd_pe,,18.3383,,18.3383,,False,UNMEASURED,,50.0,0.0,50.0,0.5,True,False,cross_sectional_primary
20260724,NASDAQ,BULL,Technology,fwd_pe,25.704918,21.4425,,21.4425,,False,cross_sectional,-2.2,50.0,-10.0,37.8,0.7,True,False,cross_sectional_primary
20260724,NASDAQ,BZ,Communication Services,fwd_pe,10.540739,13.3686,,13.3686,,False,cross_sectional,10.0,50.0,-1.3,58.7,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CACC,Financial Services,fwd_pe,10.80872,15.3078,,15.3078,,False,cross_sectional,10.0,43.2,5.4,58.6,0.5,False,True,cross_sectional_primary
20260724,NASDAQ,CAE,Industrials,ev_ebitda,11.738,18.257,,18.257,,False,cross_sectional,10.0,-25.0,-0.3,-15.3,0.5,True,True,cross_sectional_primary
20260724,NASDAQ,CAKE,Consumer Cyclical,fwd_pe,18.829605,15.9096,,15.9096,,False,cross_sectional,-2.0,50.0,0.5,48.5,0.5,True,False,cross_sectional_primary
